Id,Category
0,0
1,0
2,1
3,1
4,1
5,1
6,0
7,1
8,0
9,1
10,1
11,0
12,1
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,1
21,0
22,1
23,1
24,0
25,0
26,0
27,0
28,1
29,1
30,0
31,0
32,0
33,0
34,0
35,1
36,0
37,1
38,0
39,0
40,0
41,0
42,1
43,1
44,1
45,0
46,0
47,0
48,0
49,1
50,0
51,0
52,0
53,0
54,1
55,0
56,0
57,0
58,1
59,1
60,0
61,1
62,0
63,1
64,0
65,0
66,0
67,0
68,0
69,0
70,1
71,1
72,0
73,1
74,1
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,1
83,1
84,1
85,0
86,1
87,0
88,0
89,1
90,1
91,1
92,0
93,0
94,0
95,1
96,1
97,1
98,1
99,0
100,1
101,0
102,1
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,1
111,1
112,1
113,0
114,0
115,0
116,0
117,0
118,1
119,0
120,0
121,1
122,0
123,1
124,1
125,0
126,1
127,0
128,0
129,0
130,0
131,0
132,1
133,0
134,0
135,1
136,1
137,0
138,1
139,0
140,1
141,0
142,0
143,1
144,0
145,1
146,1
147,0
148,0
149,0
150,1
151,1
152,0
153,0
154,1
155,1
156,0
157,1
158,1
159,0
160,1
161,0
162,0
163,1
164,0
165,0
166,0
167,1
168,1
169,0
170,1
171,1
172,0
173,0
174,0
175,1
176,0
177,1
178,1
179,1
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,1
188,0
189,0
190,0
191,0
192,1
193,0
194,1
195,1
196,0
197,0
198,1
199,1
200,0
201,1
202,0
203,1
204,0
205,0
206,1
207,0
208,1
209,0
210,0
211,1
212,0
213,0
214,1
215,1
216,0
217,0
218,1
219,1
220,0
221,0
222,0
223,0
224,0
225,0
226,1
227,1
228,0
229,1
230,1
231,0
232,0
233,1
234,0
235,0
236,1
237,0
238,1
239,0
240,1
241,0
242,1
243,0
244,1
245,1
246,0
247,0
248,1
249,1
250,0
251,1
252,1
253,1
254,0
255,1
256,1
257,0
258,1
259,1
260,0
261,1
262,0
263,0
264,1
265,0
266,0
267,1
268,1
269,1
270,1
271,0
272,1
273,0
274,0
275,0
276,0
277,1
278,0
279,0
280,0
281,1
282,1
283,0
284,0
285,1
286,0
287,1
288,1
289,1
290,1
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,1
300,1
301,0
302,1
303,0
304,0
305,0
306,0
307,1
308,0
309,1
310,1
311,0
312,1
313,1
314,0
315,0
316,0
317,0
318,0
319,1
320,1
321,1
322,0
323,0
324,0
325,0
326,1
327,0
328,0
329,0
330,0
331,1
332,0
333,1
334,0
335,0
336,1
337,0
338,1
339,0
340,1
341,1
342,0
343,0
344,1
345,1
346,1
347,0
348,0
349,1
350,0
351,1
352,0
353,0
354,0
355,0
356,1
357,0
358,0
359,0
360,1
361,0
362,0
363,0
364,0
365,1
366,0
367,0
368,1
369,0
370,0
371,1
372,0
373,0
374,0
375,1
376,1
377,0
378,0
379,0
380,1
381,0
382,0
383,1
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,1
393,0
394,1
395,1
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,1
404,0
405,0
406,0
407,1
408,0
409,1
410,0
411,0
412,0
413,0
414,1
415,0
416,1
417,0
418,0
419,1
420,0
421,1
422,0
423,0
424,0
425,1
426,0
427,0
428,1
429,0
430,1
431,0
432,0
433,1
434,0
435,0
436,1
437,1
438,0
439,1
440,0
441,1
442,0
443,0
444,1
445,0
446,0
447,0
448,0
449,1
450,0
451,0
452,1
453,0
454,0
455,1
456,1
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,1
474,1
475,0
476,0
477,1
478,1
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,1
487,1
488,1
489,1
490,0
491,1
492,0
493,0
494,0
495,0
496,0
497,0
498,1
499,0
500,1
501,0
502,1
503,0
504,0
505,1
506,0
507,0
508,1
509,0
510,0
511,0
512,0
513,1
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,1
523,0
524,1
525,0
526,0
527,0
528,1
529,0
530,0
531,1
